"Source_ID","Rupture_ID","Rup_Var_ID","Run_ID","IM_Type_ID","IM_Value"
10,0,0,3872,1,24.1871929168701
10,0,0,3872,11,146.83203125
10,0,0,3872,21,131.924240112305
10,0,0,3872,26,131.768402099609
10,0,0,3872,86,107.728057861328
10,0,0,3872,136,36.3873863220215
10,0,0,3872,138,82.9363708496094
10,0,0,3872,142,173.403076171875
10,0,0,3872,144,96.2541122436523
10,0,0,3872,146,147.813079833984
10,0,0,3872,151,171.195419311523
10,0,0,3872,152,26.2529602050781
10,0,0,3872,154,58.7769317626953
10,0,0,3872,158,146.400207519531
10,0,0,3872,160,90.7057266235352
10,0,0,3872,162,118.063934326172
10,0,0,3872,167,129.979690551758
10,0,1,3872,1,25.2796459197998
10,0,1,3872,11,120.604469299316
10,0,1,3872,21,79.725212097168
10,0,1,3872,26,120.630638122559
10,0,1,3872,86,69.598518371582
10,0,1,3872,136,42.5490875244141
10,0,1,3872,138,74.9678573608398
10,0,1,3872,142,157.53857421875
10,0,1,3872,144,80.6684875488281
10,0,1,3872,146,94.1065979003906
10,0,1,3872,151,159.441497802734
10,0,1,3872,152,30.0867481231689
10,0,1,3872,154,53.9720840454102
10,0,1,3872,158,120.017951965332
10,0,1,3872,160,70.3968811035156
10,0,1,3872,162,75.776611328125
10,0,1,3872,167,133.963790893555
10,0,2,3872,1,42.8142433166504
10,0,2,3872,11,140.167633056641
10,0,2,3872,21,194.172927856445
10,0,2,3872,26,144.003021240234
10,0,2,3872,86,99.0592803955078
10,0,2,3872,136,87.8338088989258
10,0,2,3872,138,175.258255004883
10,0,2,3872,142,179.056991577148
10,0,2,3872,144,172.463256835938
10,0,2,3872,146,265.630401611328
10,0,2,3872,151,180.602691650391
10,0,2,3872,152,62.1078834533691
10,0,2,3872,154,124.143692016602
10,0,2,3872,158,140.710205078125
10,0,2,3872,160,150.086151123047
10,0,2,3872,162,201.695053100586
10,0,2,3872,167,144.212127685547
10,0,3,3872,1,39.5271339416504
10,0,3,3872,11,182.455352783203
10,0,3,3872,21,169.682540893555
10,0,3,3872,26,233.905792236328
10,0,3,3872,86,116.601783752441
10,0,3,3872,136,89.4169769287109
